朝向,楼层,成交,单价,成交价,税费,区县,区域,装修,电梯,小区,布局,面积
南,顶层(共5层) 1982年建板楼,2018.10.16,122832,623,房屋满五年,东城,安定门,简装,,永康胡同5号院,2室1厅,50.72
东北,顶层(共11层) 1983年建板楼,2018.10.14,90183,485,房屋满两年,东城,安定门,精装,有电梯,安外西河沿,2室1厅,53.78
南 北,中楼层(共6层) 2002年建板楼,2018.10.14,114174,1400,房屋满五年,东城,安定门,简装,无电梯,官书院,3室1厅,122.62
西,中楼层(共11层) 2000年建板楼,2018.10.11,97250,818.6,房屋满五年,东城,安定门,简装,有电梯,安德路乙61号院,2室1厅,84.17
南 北,顶层(共6层) 1985年建板楼,2018.10.11,87763,573,近地铁,东城,安定门,精装,无电梯,安外西河沿,3室1厅,65.29
南 北,中楼层(共6层) 1985年建板楼,2018.10.10,105589,650,房屋满五年,东城,安定门,精装,,中绦胡同甲2号院,2室1厅,61.56
东,中楼层(共11层) 1983年建板楼,2018.10.09,90456,490,近地铁,东城,安定门,简装,有电梯,安外西河沿,2室1厅,54.17
西,低楼层(共16层) 2006年建塔楼,2018.10.01,83957,483,房屋满五年,东城,安定门,简装,有电梯,西营房,1室1厅,57.53
南 北,中楼层(共5层) 1984年建板楼,2018.10,,,近地铁,东城,安定门,其他,无电梯,和平里中街,2室1厅,60.4
暂无数据,顶层(共11层) 2000年建板楼,2018.10,,,,东城,安定门,其他,有电梯,,,
南 北,高楼层(共6层) 1997年建板楼,2018.10,,,,东城,安定门,其他,无电梯,地兴居,3室1厅,86.95
南,中楼层(共6层) 1984年建板楼,2018.10,,,,东城,安定门,简装,无电梯,永康胡同18号院,1室1厅,43.7
东 南,底层(共16层) 1992年建塔楼,2018.10,,,近地铁,东城,安定门,其他,有电梯,安外东河沿,2室1厅,64.6
暂无数据,中楼层(共6层) 1987年建板楼,2018.10,,,,东城,安定门,其他,无电梯,,,
南,顶层(共3层) 1958年建板楼,2018.10,,,,东城,安定门,其他,,,,
南,低楼层(共9层) 1985年建板塔结合,2018.10,,,房屋满五年,东城,安定门,简装,有电梯,安外东河沿,2室1厅,58.94
南,顶层(共6层) 1990年建板楼,2018.10,,,近地铁,东城,安定门,精装,无电梯,青年湖东里,2室1厅,50.65
南,底层(共6层) 1984年建板楼,2018.10,,,房屋满五年,东城,安定门,精装,无电梯,永康胡同18号院,1室1厅,43.7
西,中楼层(共16层) 2001年建塔楼,2018.09.30,94025,930,房屋满五年,东城,安定门,简装,有电梯,华府景园,2室1厅,98.91
南 北,中楼层(共6层) 1997年建板楼,2018.09.30,96378,838,挂牌890万,东城,安定门,简装,无电梯,地兴居,3室1厅,86.95
南,低楼层(共6层) 1986年建板楼,2018.09.29,102565,412,房屋满五年,东城,安定门,简装,无电梯,青年湖东里,1室1厅,40.17
南,高楼层(共24层) 2005年建板塔结合,2018.09.28,98999,1256,房屋满五年,东城,安定门,简装,有电梯,巷上嘉园,2室1厅,126.87
东,低楼层(共12层) 1988年建板塔结合,2018.09.28,103934,465,房屋满五年,东城,安定门,简装,有电梯,安外大街3号院,2室1厅,44.74
东,高楼层(共6层) 1990年建板楼,2018.09.27,105979,390,近地铁,东城,安定门,其他,无电梯,安德路47号院,1室1厅,36.8
东 南,中楼层(共6层) 1983年建板楼,2018.09.26,106786,960,近地铁,东城,安定门,简装,有电梯,安外东河沿,4室1厅,89.9
东北,低楼层(共18层) 1999年建塔楼,2018.09.26,89195,700,房屋满五年,东城,安定门,简装,有电梯,青年湖北里,2室1厅,78.48
南 北,高楼层(共6层) 1994年建板楼,2018.09.25,90197,552,房屋满五年,东城,安定门,精装,无电梯,青年湖东里,2室1厅,61.2
东北,中楼层(共17层) 2006年建塔楼,2018.09.23,109194,405,房屋满五年,东城,安定门,精装,有电梯,西营房,1室0厅,37.09
南,低楼层(共6层) 1980年建板楼,2018.09.21,109171,475,房屋满五年,东城,安定门,其他,无电梯,六铺炕,1室1厅,43.51
南 北,底层(共6层) 1990年建板楼,2018.09.19,97081,655,近地铁,东城,安定门,毛坯,无电梯,朗家胡同13号院,3室1厅,67.47
南 北,高楼层(共6层) 1990年建板楼,2018.09.16,91004,528,房屋满五年,东城,安定门,精装,无电梯,黄寺大街2号院,2室1厅,58.02
东南,中楼层(共20层) 1994年建塔楼,2018.09.16,94000,766,房屋满五年,东城,安定门,简装,有电梯,安外东河沿,3室1厅,81.49
东南,低楼层(共18层) 1999年建塔楼,2018.09.15,99430,750,房屋满五年,东城,安定门,简装,有电梯,青年湖北里,2室1厅,75.43
南 北,低楼层(共6层) 1990年建板楼,2018.09.14,96719,560,挂牌568万,东城,安定门,精装,无电梯,安德路47号院,2室1厅,57.9
南,高楼层(共6层) 1988年建板楼,2018.09.07,97962,418,房屋满两年,东城,安定门,精装,无电梯,安外大街3号院,1室1厅,42.67
东,中楼层(共11层) 1983年建板楼,2018.09.07,95288,370,近地铁,东城,安定门,其他,有电梯,安外西河沿,1室1厅,38.83
北,中楼层(共17层) 2006年建塔楼,2018.09.06,107409,390,房屋满五年,东城,安定门,精装,有电梯,西营房,1室0厅,36.31
南 北,地下室(共7层) 2001年建板楼,2018.09.06,39649,600,房屋满五年,东城,安定门,其他,有电梯,宝钞苑,3室2厅,151.33
南 北,高楼层(共6层) 1985年建板楼,2018.09.04,105246,636,房屋满两年,东城,安定门,简装,,中绦胡同甲2号院,3室1厅,60.43
南,地下室 2005年建塔楼,2018.09.03,22505,69,近地铁,东城,安定门,其他,有电梯,巷上嘉园,车位,70
西,底层(共6层) 1980年建板楼,2018.09.02,127883,244,近地铁,东城,安定门,简装,无电梯,安德路47号院,1室1厅,19.08
暂无数据,顶层(共3层) 1958年建板楼,2018.09,,,,东城,安定门,其他,,,,
暂无数据,底层(共3层) 1958年建板楼,2018.09,,,近地铁,东城,安定门,其他,,,,
暂无数据,低楼层(共3层) 1958年建板楼,2018.09,,,,东城,安定门,其他,,,,
暂无数据,低楼层(共6层) 1986年建板楼,2018.09,,,近地铁,东城,安定门,其他,,,,
南 北,中楼层(共18层) 1988年建塔楼,2018.09,,,近地铁,东城,安定门,其他,有电梯,青年湖东里,2室1厅,75
南 西 北,中楼层(共6层) 1994年建板楼,2018.09,,,近地铁,东城,安定门,其他,无电梯,青年湖东里,2室1厅,62
南 北,中楼层(共18层) 1988年建塔楼,2018.09,,,近地铁,东城,安定门,精装,有电梯,,,
南 北,中楼层(共5层) 1984年建板楼,2018.09,,,近地铁,东城,安定门,其他,无电梯,和平里中街,2室1厅,60.4
南 北,底层(共6层) 1981年建板楼,2018.09,,,近地铁,东城,安定门,其他,无电梯,安外东河沿,2室1厅,60
暂无数据,中楼层(共5层) 1982年建板楼,2018.09,,,近地铁,东城,安定门,其他,,,,
西,高楼层(共19层) 2006年建塔楼,2018.09,,,近地铁,东城,安定门,其他,有电梯,西营房,3室1厅,110.41
南 北,低楼层(共6层) 1990年建板楼,2018.09,,,近地铁,东城,安定门,其他,无电梯,青年湖东里,2室1厅,59.1
东 南,低楼层(共6层) 1994年建板楼,2018.09,,,近地铁,东城,安定门,其他,无电梯,青年湖东里,1室1厅,45.71
东南,顶层(共19层) 2006年建塔楼,2018.09,,,房屋满五年,东城,安定门,精装,有电梯,西营房,2室1厅,89.31
西,低楼层(共19层) 2006年建塔楼,2018.09,,,房屋满五年,东城,安定门,简装,有电梯,西营房,1室1厅,55.95
南 北,高楼层(共6层) 1990年建板楼,2018.08.31,97409,575,房屋满五年,东城,安定门,精装,无电梯,安德路47号院,2室1厅,59.03
南 北,顶层(共11层) 2001年建板楼,2018.08.30,104648,680,挂牌698万,东城,安定门,简装,有电梯,车辇店胡同,2室1厅,64.98
西,中楼层(共18层) 2000年建塔楼,2018.08.29,81845,545,近地铁,东城,安定门,精装,有电梯,三秀涵雅,1室1厅,66.59
东,高楼层(共12层) 1994年建板楼,2018.08.27,72781,550,房屋满五年,东城,安定门,精装,有电梯,京宝花园,2室1厅,75.57
东 西北,中楼层(共16层) 1992年建塔楼,2018.08.27,95964,630,房屋满五年,东城,安定门,其他,有电梯,安外东河沿,3室1厅,65.65
南 北,中楼层(共5层) 1980年建板楼,2018.08.26,99020,515,近地铁,东城,安定门,简装,无电梯,青年湖东里,2室1厅,52.01
东北,低楼层(共9层) 1985年建板塔结合,2018.08.24,120651,430,房屋满五年,东城,安定门,简装,有电梯,安外东河沿,1室1厅,35.64
南,顶层(共4层) 1958年建板楼,2018.08.23,103726,465,挂牌498万,东城,安定门,其他,,国祥胡同,2室1厅,44.83
南 北,高楼层(共12层) 1983年建板楼,2018.08.21,93030,670,房屋满五年,东城,安定门,简装,有电梯,安外西河沿,3室1厅,72.02
西,中楼层(共18层) 2000年建塔楼,2018.08.21,86808,758,房屋满五年,东城,安定门,精装,有电梯,三秀涵雅,2室1厅,87.32
西南,中楼层(共19层) 2001年建塔楼,2018.08.19,80065,1100,近地铁,东城,安定门,其他,有电梯,凯景铭座,2室1厅,137.39
西,顶层(共12层) 1994年建板楼,2018.08.15,66249,517,房屋满五年,东城,安定门,精装,有电梯,京宝花园,1室1厅,78.04
西 北,顶层(共17层) 2006年建塔楼,2018.08.15,105824,392.5,房屋满五年,东城,安定门,简装,有电梯,西营房,1室0厅,37.09
南,底层(共20层) 1982年建塔楼,2018.08.14,106061,399,房屋满五年,东城,安定门,精装,有电梯,安外东河沿,1室1厅,37.62
北,高楼层(共22层) 2001年建塔楼,2018.08.14,79235,588,房屋满五年,东城,安定门,精装,有电梯,中景濠庭,1室1厅,74.21
西南,低楼层(共17层) 1990年建塔楼,2018.08.13,103784,480,房屋满五年,东城,安定门,简装,有电梯,安德里北街25号院,1室1厅,46.25
